,image_idx,cell_idx,n_spots,gfp
0,1.0,17.0,109.0,0.02670131445192156
1,1.0,16.0,120.0,0.025417594948556853
2,1.0,15.0,36.0,0.02268374949864977
3,1.0,14.0,43.0,0.023738534855130312
4,1.0,13.0,196.0,0.027359519535232676
5,1.0,12.0,109.0,0.027494345179256845
6,1.0,10.0,72.0,0.025470740091320845
7,1.0,11.0,27.0,0.025674451820757716
8,1.0,9.0,79.0,0.02324260190200045
9,1.0,8.0,82.0,0.027021355889869127
10,1.0,7.0,66.0,0.024869981811375112
11,1.0,6.0,57.0,0.02434677544343226
12,1.0,5.0,186.0,0.02432964468527375
13,1.0,4.0,64.0,0.024116099609102538
14,1.0,3.0,70.0,0.029679860258820363
15,1.0,2.0,73.0,0.029011420577256725
16,1.0,1.0,57.0,0.028642517606534006
17,1.0,0.0,42.0,0.027767727478957675
18,2.0,14.0,60.0,0.025457695951499645
19,2.0,12.0,332.0,0.028911308683440568
20,2.0,13.0,104.0,0.02756490070377633
21,2.0,11.0,17.0,0.025165762328657502
22,2.0,10.0,56.0,0.023364834704861302
23,2.0,8.0,55.0,0.02041356869123916
24,2.0,9.0,28.0,0.025826527491236585
25,2.0,7.0,35.0,0.02210104164781612
26,2.0,6.0,63.0,0.02802919020920857
27,2.0,5.0,138.0,0.0277400902980324
28,2.0,4.0,128.0,0.027374346942596828
29,2.0,3.0,43.0,0.025781347655371725
30,2.0,2.0,76.0,0.026131412806632896
31,2.0,1.0,96.0,0.026464885671870383
32,2.0,0.0,41.0,0.024015699462361925
33,3.0,15.0,77.0,0.01918370036820496
34,3.0,14.0,87.0,0.022431603087974546
35,3.0,13.0,65.0,0.022443996992857054
36,3.0,12.0,51.0,0.02099971361562877
37,3.0,11.0,95.0,0.024682868240163795
38,3.0,10.0,70.0,0.02616008854985359
39,3.0,8.0,111.0,0.026749601775909727
40,3.0,9.0,59.0,0.02555030164334308
41,3.0,6.0,95.0,0.024978337117442358
42,3.0,7.0,82.0,0.02527354901478877
43,3.0,4.0,157.0,0.023795397201462128
44,3.0,5.0,37.0,0.022917587115830158
45,3.0,3.0,161.0,0.024581360989237862
46,3.0,1.0,94.0,0.027102719619547598
47,3.0,0.0,111.0,0.025609376900041055
48,3.0,2.0,93.0,0.030370333411527808
49,4.0,14.0,83.0,0.018657802081979247
50,4.0,13.0,35.0,0.02047311988548073
51,4.0,12.0,68.0,0.019826523779724856
52,4.0,10.0,62.0,0.026322519536779148
53,4.0,11.0,57.0,0.024940986037347217
54,4.0,9.0,37.0,0.01974321587337847
55,4.0,8.0,86.0,0.024677016347006725
56,4.0,7.0,38.0,0.022271763840724032
57,4.0,6.0,66.0,0.02332236767154369
58,4.0,5.0,125.0,0.023851424576900614
59,4.0,4.0,74.0,0.024199017180039903
60,4.0,3.0,43.0,0.02543557284844334
61,4.0,2.0,57.0,0.020007003098167053
62,4.0,0.0,50.0,0.022437000619393962
63,4.0,1.0,166.0,0.024002250001476856
64,5.0,7.0,47.0,0.024726355571608058
65,5.0,6.0,137.0,0.023802214667635924
66,5.0,5.0,50.0,0.01722651377496626
67,5.0,4.0,39.0,0.02182727039734763
68,5.0,3.0,114.0,0.02520810484719645
69,5.0,2.0,22.0,0.02425440507461666
70,5.0,1.0,138.0,0.024068525369350127
71,5.0,0.0,145.0,0.025111347815833532
72,6.0,5.0,33.0,0.022849241926092112
73,6.0,4.0,85.0,0.02339529677016957
74,6.0,3.0,63.0,0.02328464294753117
75,6.0,2.0,71.0,0.022492460209765714
76,6.0,1.0,70.0,0.02612312766199511
77,6.0,0.0,75.0,0.024285543266329226
78,7.0,11.0,60.0,0.02108067207819366
79,7.0,10.0,57.0,0.019107664071275732
80,7.0,9.0,25.0,0.021045833085943263
81,7.0,8.0,35.0,0.020281727179418025
82,7.0,7.0,118.0,0.026209435097392788
83,7.0,6.0,43.0,0.020189135146634455
84,7.0,5.0,63.0,0.026164498667446023
85,7.0,4.0,37.0,0.02227411635723864
86,7.0,2.0,72.0,0.0212146359990249
87,7.0,3.0,32.0,0.02466535503609272
88,7.0,1.0,83.0,0.02411922267069784
89,7.0,0.0,32.0,0.023409050833372413
90,8.0,33.0,76.0,0.02785228782461764
91,8.0,32.0,76.0,0.031539724087533375
92,8.0,29.0,185.0,0.03393473017767853
93,8.0,31.0,71.0,0.02553622638628892
94,8.0,30.0,14.0,0.02532072556402751
