,image_idx,cell_idx,n_spots,gfp
0,1.0,18.0,61.0,0.018022987319276887
1,1.0,17.0,30.0,0.02052409128142764
2,1.0,19.0,20.0,0.020146912091685957
3,1.0,15.0,56.0,0.01878094659888797
4,1.0,16.0,24.0,0.020227509193871018
5,1.0,12.0,136.0,0.021129078528860645
6,1.0,14.0,29.0,0.02353018929248711
7,1.0,13.0,63.0,0.01813192633646596
8,1.0,11.0,110.0,0.024205159034583538
9,1.0,10.0,436.0,0.025165991436894804
10,1.0,7.0,90.0,0.02716855493495057
11,1.0,9.0,40.0,0.02392214911053273
12,1.0,8.0,117.0,0.024835341270394856
13,1.0,6.0,175.0,0.023168727190296504
14,1.0,5.0,64.0,0.02437402406481196
15,1.0,4.0,124.0,0.024155016401700046
16,1.0,3.0,84.0,0.022793468910183644
17,1.0,2.0,66.0,0.026934407241169824
18,1.0,1.0,52.0,0.02453110211487887
19,1.0,0.0,168.0,0.027263965802997742
20,2.0,24.0,158.0,0.02003815332123923
21,2.0,23.0,78.0,0.020003176290609395
22,2.0,22.0,173.0,0.022216426447791263
23,2.0,21.0,76.0,0.019853270890392814
24,2.0,20.0,63.0,0.02175156934941772
25,2.0,19.0,158.0,0.022016796600245563
26,2.0,17.0,198.0,0.02518568367934581
27,2.0,18.0,106.0,0.022662920728450338
28,2.0,16.0,118.0,0.024989443993114903
29,2.0,15.0,143.0,0.02268815811764067
30,2.0,14.0,121.0,0.024262382394045996
31,2.0,13.0,102.0,0.020841308469350887
32,2.0,12.0,24.0,0.01936382591228749
33,2.0,11.0,2.0,0.020305442589532208
34,2.0,10.0,52.0,0.01932843066510989
35,2.0,9.0,36.0,0.023021361012906225
36,2.0,8.0,15.0,0.02128256485238132
37,2.0,7.0,24.0,0.02249672872568052
38,2.0,6.0,409.0,0.023269473558910243
39,2.0,5.0,91.0,0.0202891737461716
40,2.0,4.0,81.0,0.021782491555739147
41,2.0,3.0,102.0,0.018426543406427947
42,2.0,2.0,46.0,0.02054840519616201
43,2.0,1.0,135.0,0.021487067250810083
44,2.0,0.0,39.0,0.01922331185079821
45,3.0,26.0,82.0,0.017672476553075984
46,3.0,25.0,137.0,0.01595026082528639
47,3.0,24.0,40.0,0.016727311637765436
48,3.0,22.0,85.0,0.01969704949125016
49,3.0,23.0,154.0,0.02138471083048848
50,3.0,21.0,62.0,0.019914281756406957
51,3.0,20.0,167.0,0.02057474326502925
52,3.0,19.0,306.0,0.02152896028375786
53,3.0,17.0,70.0,0.02067402177641144
54,3.0,18.0,109.0,0.01983773219936824
55,3.0,16.0,177.0,0.02128235997888589
56,3.0,15.0,74.0,0.02164537961888796
57,3.0,14.0,98.0,0.020821668701117783
58,3.0,13.0,176.0,0.01896483978815349
59,3.0,11.0,107.0,0.01767649765776239
60,3.0,12.0,187.0,0.020063235467011442
61,3.0,10.0,124.0,0.02080958391932039
62,3.0,9.0,197.0,0.019831109466106302
63,3.0,8.0,165.0,0.020084764781566213
64,3.0,7.0,92.0,0.02052851168773496
65,3.0,6.0,162.0,0.022816488408960927
66,3.0,5.0,47.0,0.020146040182816096
67,3.0,3.0,54.0,0.019346083747314263
68,3.0,4.0,62.0,0.018336651898609814
69,3.0,2.0,75.0,0.0214319312547358
70,3.0,0.0,1.0,0.017704057900703875
71,3.0,1.0,43.0,0.01929334775610967
72,4.0,23.0,72.0,0.01660316644002681
73,4.0,21.0,204.0,0.017769846112740146
74,4.0,22.0,72.0,0.01504779859627735
75,4.0,24.0,29.0,0.01459490785983565
76,4.0,20.0,53.0,0.017670976948638974
77,4.0,18.0,179.0,0.019102707430948097
78,4.0,19.0,183.0,0.01937344610178726
79,4.0,17.0,103.0,0.01846495301544389
80,4.0,14.0,199.0,0.019224340927254013
81,4.0,16.0,9.0,0.015594689377122313
82,4.0,15.0,64.0,0.0177388215388855
83,4.0,13.0,45.0,0.02037900717719845
84,4.0,12.0,162.0,0.018098724045517385
85,4.0,11.0,134.0,0.017337034586305342
86,4.0,10.0,67.0,0.0180916889413045
87,4.0,9.0,168.0,0.019495414682297197
88,4.0,7.0,199.0,0.020640178215235828
89,4.0,8.0,108.0,0.020075885419734905
90,4.0,5.0,80.0,0.019001704279461133
91,4.0,6.0,134.0,0.017503667396535482
92,4.0,4.0,55.0,0.0195607443397642
93,4.0,3.0,113.0,0.018320680338944368
94,4.0,2.0,84.0,0.02135166580092214
95,4.0,1.0,49.0,0.02059597910121371
96,4.0,0.0,75.0,0.01907229254629083
97,5.0,15.0,70.0,0.017722062002074934
98,5.0,14.0,42.0,0.01925005503609027
