Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C09",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",39.2,ddPCR Supermix for Probes (no dUTP),784,,,42.5,35.9,545,16078,0,5,545,16073,0,16623,,,,,,,,0.009,,,0.017,0.001,0.9,,,1.7,0.1,1,1,2291,11244,1151.9,1482.8,"",,,,40.9,37.5,,,,,,,0.0131,0.0049,,,1.3,0.49,
"C10",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,16163,0,0,0,16163,0,16163,,,,,,,,,,,,,,,,,,1,1,0,0,1128.8,1128.8,"",,,,,,,,,,,,,,,,,,
"C11",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",35.6,ddPCR Supermix for Probes (no dUTP),712,,,39,32.2,422,13749,2,15,420,13734,0.128,14171,,,,,,,,0.04,,,0.059,0.02,3.8,,,5.6,2,1,1,2903,11418,1166.9,1472.2,"",,,,37.3,33.8,,,,,,,0.05,0.03,,,4.7,2.9,
"C12",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",26.9,ddPCR Supermix for Probes (no dUTP),538,,,29.8,24,328,14185,0,2,328,14183,0,14513,,,,,,,,0.006,,,0.015,0,0.6,,,1.5,0,1,1,1900,10977,1132.2,1354.7,"",,,,28.4,25.4,,,,,,,0.0105,0.0015,,,1.04,0.15,
"D01",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",72.8,ddPCR Supermix for Probes (no dUTP),1456,,,77.4,68.2,949,14870,1,24,948,14846,0,15819,,,,,,,,0.026,,,0.036,0.015,2.5,,,3.5,1.5,1,1,2785,11277,1157.4,1764.5,"",,,,75.1,70.4,,,,,,,0.031,0.02,,,2.99,2,
"D02",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",46.3,ddPCR Supermix for Probes (no dUTP),926,,,50.1,42.6,580,14436,0,8,580,14428,0,15016,,,,,,,,0.014,,,0.023,0.004,1.3,,,2.3,0.4,1,1,3046,11170,1164.5,1550.9,"",,,,48.3,44.4,,,,,,,0.0184,0.0087,,,1.81,0.86,
"D03",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",34.8,ddPCR Supermix for Probes (no dUTP),696,,,38,31.5,435,14500,0,17,435,14483,0,14935,,,,,,,,0.039,,,0.057,0.02,3.7,,,5.5,2,1,1,2504,10991,1151.8,1438.4,"",,,,36.4,33.1,,,,,,,0.048,0.029,,,4.6,2.8,
"D04",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",67,ddPCR Supermix for Probes (no dUTP),1340,,,71.9,62,694,11851,0,11,694,11840,0,12545,,,,,,,,0.015,,,0.025,0.006,1.5,,,2.4,0.6,1,1,2766,10987,1151.7,1695.8,"",,,,69.5,64.4,,,,,,,0.0201,0.0107,,,1.97,1.06,
"D05",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",31.4,ddPCR Supermix for Probes (no dUTP),628,,,34.5,28.3,398,14714,1,11,397,14703,0.0547,15112,,,,,,,,0.03,,,0.047,0.012,2.9,,,4.5,1.3,1,1,2727,10912,1153.7,1410.7,"",,,,33,29.8,,,,,,,0.039,0.021,,,3.7,2.1,
"D06",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,16208,0,0,0,16208,0,16208,,,,,,,,,,,,,,,,,,1,1,0,0,1159.3,1159.3,"",,,,,,,,,,,,,,,,,,
