Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"F04",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",33.8,ddPCR Supermix for Probes (no dUTP),676,,,37,30.7,436,14947,3,17,433,14930,0.192,15383,,,,,,,,0.045,,,0.066,0.025,4.3,,,6.2,2.5,1,1,2731,11100,1164.9,1446.5,"",,,,35.4,32.2,,,,,,,0.056,0.035,,,5.3,3.4,
"F05",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,15032,0,0,0,15032,0,15032,,,,,,,,,,,,,,,,,,1,1,0,0,1173,1173,"",,,,,,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",31.6,ddPCR Supermix for Probes (no dUTP),632,,,34.6,28.6,426,15673,0,12,426,15661,0,16099,,,,,,,,0.028,,,0.044,0.012,2.7,,,4.2,1.2,1,1,2925,11323,1173.3,1441.9,"",,,,33.1,30,,,,,,,0.036,0.02,,,3.5,1.9,
"F07",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",75.6,ddPCR Supermix for Probes (no dUTP),1512,,,80.3,70.9,982,14800,1,18,981,14782,0,15782,,,,,,,,0.019,,,0.027,0.01,1.8,,,2.7,1,1,1,2876,11114,1167.6,1786.5,"",,,,78,73.2,,,,,,,0.0231,0.0144,,,2.26,1.42,
"F08",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",22,ddPCR Supermix for Probes (no dUTP),440,,,24.6,19.3,270,14328,0,2,270,14326,0,14598,,,,,,,,0.007,,,0.019,0,0.7,,,1.8,0,1,1,1402,11081,1155.9,1339.5,"",,,,23.3,20.6,,,,,,,0.013,0.002,,,1.3,0.2,
"F09",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",18.8,ddPCR Supermix for Probes (no dUTP),376,,,21.3,16.4,229,14198,0,5,229,14193,0,14427,,,,,,,,0.022,,,0.042,0.002,2.1,,,4,0.2,1,1,2669,11328,1162,1323.4,"",,,,20.1,17.6,,,,,,,0.032,0.012,,,3.1,1.2,
"F10",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",34.4,ddPCR Supermix for Probes (no dUTP),688,,,37.5,31.4,489,16462,1,14,488,16448,0.0406,16951,,,,,,,,0.03,,,0.046,0.015,2.9,,,4.4,1.5,1,1,2565,11400,1180.1,1474.9,"",,,,36,32.9,,,,,,,0.038,0.022,,,3.7,2.2,
"F11",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",61.4,ddPCR Supermix for Probes (no dUTP),1228,,,65.7,57,771,14402,0,12,771,14390,0,15173,,,,,,,,0.015,,,0.024,0.006,1.5,,,2.3,0.6,1,1,2913,11322,1152.6,1669.3,"",,,,63.6,59.1,,,,,,,0.0196,0.0107,,,1.92,1.06,
"F12",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",35,ddPCR Supermix for Probes (no dUTP),700,,,38.7,31.3,343,11373,1,9,342,11364,0.0732,11716,,,,,,,,0.029,,,0.047,0.01,2.8,,,4.5,1.1,1,1,2868,11314,1142.2,1440,"",,,,36.8,33.1,,,,,,,0.038,0.019,,,3.7,1.9,
"G01",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,16167,0,0,0,16167,0,16167,,,,,,,,,,,,,,,,,,1,1,0,0,1157.5,1157.5,"",,,,,,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",52.3,ddPCR Supermix for Probes (no dUTP),1046,,,56.5,48,571,12573,0,10,571,12563,0,13144,,,,,,,,0.017,,,0.028,0.006,1.7,,,2.7,0.6,1,1,3000,11224,1167.5,1604.3,"",,,,54.4,50.1,,,,,,,0.023,0.012,,,2.2,1.2,
"G03",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",60.5,ddPCR Supermix for Probes (no dUTP),1210,,,64.8,56.3,768,14542,1,17,767,14525,0.00786,15310,,,,,,,,0.023,,,0.034,0.012,2.2,,,3.3,1.2,1,1,2852,11302,1160.2,1669,"",,,,62.7,58.4,,,,,,,0.028,0.017,,,2.8,1.7,
"G04",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14159,0,0,0,14159,0,14159,,,,,,,,,,,,,,,,,,1,1,0,0,1163.2,1163.2,"",,,,,,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",14.6,ddPCR Supermix for Probes (no dUTP),292,,,16.6,12.5,194,15559,1,8,193,15551,0.0673,15753,,,,,,,,0.046,,,0.078,0.015,4.4,,,7.3,1.5,1,1,1993,11281,1161,1285.6,"",,,,15.6,13.5,,,,,,,0.062,0.03,,,5.9,3,
"G06",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",52.3,ddPCR Supermix for Probes (no dUTP),1046,,,56.4,48.3,634,13937,0,6,634,13931,0,14571,,,,,,,,0.009,,,0.017,0.002,0.9,,,1.7,0.2,1,1,2484,11220,1163.4,1601,"",,,,54.4,50.3,,,,,,,0.0131,0.0054,,,1.3,0.54,
"G07",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",68.9,ddPCR Supermix for Probes (no dUTP),1378,,,73.4,64.4,902,14961,1,25,901,14936,0,15863,,,,,,,,0.028,,,0.039,0.017,2.7,,,3.8,1.7,1,1,2890,11033,1153.3,1715.1,"",,,,71.2,66.6,,,,,,,0.034,0.022,,,3.3,2.2,
"G08",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",38.7,ddPCR Supermix for Probes (no dUTP),774,,,42,35.3,512,15321,0,20,512,15301,0,15833,,,,,,,,0.038,,,0.056,0.021,3.7,,,5.3,2.1,1,1,2711,10952,1160.9,1477.5,"",,,,40.4,37,,,,,,,0.047,0.03,,,4.5,2.9,
"G09",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",41.3,ddPCR Supermix for Probes (no dUTP),826,,,44.8,37.8,538,15058,0,14,538,15044,0,15596,,,,,,,,0.026,,,0.039,0.012,2.5,,,3.8,1.2,1,1,2528,11185,1150.6,1496.7,"",,,,43.1,39.5,,,,,,,0.033,0.019,,,3.2,1.8,
"G10",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14851,0,0,0,14851,0,14851,,,,,,,,,,,,,,,,,,1,1,0,0,1161.4,1161.4,"",,,,,,,,,,,,,,,,,,
"G11",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",24.2,ddPCR Supermix for Probes (no dUTP),484,,,26.9,21.5,305,14673,0,4,305,14669,0,14978,,,,,,,,0.013,,,0.026,0,1.3,,,2.6,0,1,1,1773,11397,1146,1354.8,"",,,,25.6,22.8,,,,,,,0.02,0.006,,,1.9,0.6,
"G12",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",46.2,ddPCR Supermix for Probes (no dUTP),924,,,50,42.4,563,14056,0,10,563,14046,0,14619,,,,,,,,0.017,,,0.029,0.006,1.7,,,2.8,0.6,1,1,2784,11415,1161.8,1556.6,"",,,,48.2,44.3,,,,,,,0.023,0.012,,,2.3,1.2,
"H01",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",53.7,ddPCR Supermix for Probes (no dUTP),1074,,,57.7,49.6,679,14546,0,33,679,14513,0,15225,,,,,,,,0.048,,,0.064,0.031,4.5,,,6.1,3,1,1,2357,11099,1169,1611.9,"",,,,55.7,51.6,,,,,,,0.056,0.039,,,5.3,3.8,
"H02",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",64.8,ddPCR Supermix for Probes (no dUTP),1296,,,69.1,60.4,853,15069,3,15,850,15054,0.159,15922,,,,,,,,0.021,,,0.03,0.011,2,,,2.9,1.1,1,1,2973,11091,1159.1,1691.2,"",,,,67,62.6,,,,,,,0.0254,0.0156,,,2.48,1.54,
"H03",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",56.5,ddPCR Supermix for Probes (no dUTP),1130,,,60.6,52.4,733,14905,0,30,733,14875,0,15638,,,,,,,,0.04,,,0.055,0.025,3.8,,,5.2,2.5,1,1,2863,11143,1147.4,1616,"",,,,58.6,54.4,,,,,,,0.047,0.033,,,4.5,3.2,
"H04",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",36.6,ddPCR Supermix for Probes (no dUTP),732,,,40.1,33.1,426,13487,0,20,426,13467,0,13913,,,,,,,,0.046,,,0.067,0.025,4.4,,,6.3,2.5,1,1,2751,11102,1151.5,1456.2,"",,,,38.4,34.8,,,,,,,0.057,0.036,,,5.4,3.5,
"H05",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",31.2,ddPCR Supermix for Probes (no dUTP),624,,,34.3,28.1,383,14262,11,11,372,14251,0.861,14645,,,,,,,,0.057,,,0.081,0.032,5.4,,,7.6,3.2,1,1,2713,10899,1138.7,1394,"",,,,32.8,29.6,,,,,,,0.069,0.044,,,6.5,4.3,
"H06",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",47.6,ddPCR Supermix for Probes (no dUTP),952,,,51.8,43.5,506,12250,0,13,506,12237,0,12756,,,,,,,,0.025,,,0.039,0.011,2.5,,,3.8,1.1,1,1,2884,11227,1171.7,1570.6,"",,,,49.7,45.5,,,,,,,0.032,0.018,,,3.1,1.8,
"H07",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",76,ddPCR Supermix for Probes (no dUTP),1520,,,81,71,833,12520,1,23,832,12497,0,13353,,,,,,,,0.028,,,0.039,0.016,2.7,,,3.8,1.6,1,1,2854,10936,1136.8,1748.1,"",,,,78.4,73.2,,,,,,,0.034,0.022,,,3.3,2.2,
"H08",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",25,ddPCR Supermix for Probes (no dUTP),500,,,27.7,22.3,328,15254,0,26,328,15228,0,15582,,,,,,,,0.078,,,0.11,0.047,7.3,,,10,4.6,1,1,1547,11048,1154.2,1362.5,"",,,,26.4,23.6,,,,,,,0.094,0.063,,,8.7,5.9,
"H09",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",29.5,ddPCR Supermix for Probes (no dUTP),590,,,32.5,26.6,380,14952,1,13,379,14939,0.0514,15332,,,,,,,,0.036,,,0.056,0.017,3.5,,,5.3,1.7,1,1,2560,11148,1167.7,1415.1,"",,,,31,28,,,,,,,0.046,0.026,,,4.4,2.6,
"H10",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",28,ddPCR Supermix for Probes (no dUTP),560,,,31.1,25,330,13685,1,10,329,13675,0.0637,14015,,,,,,,,0.033,,,0.053,0.013,3.2,,,5.1,1.3,1,1,2877,11102,1158.5,1392.6,"",,,,29.6,26.5,,,,,,,0.043,0.023,,,4.1,2.2,
"H11",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",66.7,ddPCR Supermix for Probes (no dUTP),1334,,,71.4,62,775,13286,1,20,774,13266,0,14061,,,,,,,,0.026,,,0.038,0.015,2.6,,,3.7,1.5,1,1,2907,11437,1162.6,1728.9,"",,,,69.1,64.3,,,,,,,0.032,0.021,,,3.1,2,
"H12",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",44.6,ddPCR Supermix for Probes (no dUTP),892,,,48.6,40.7,482,12461,0,12,482,12449,0,12943,,,,,,,,0.024,,,0.039,0.01,2.4,,,3.7,1,1,1,3002,11436,1156.6,1539.4,"",,,,46.7,42.6,,,,,,,0.032,0.017,,,3.1,1.7,
