DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
06:22:37.428 2018-11-19,23.00392,40,0,0,40,41
06:22:38.428 2018-11-19,22.94138,40,0,0,40,41
06:22:39.428 2018-11-19,22.85658,40,0,0,40,41
06:22:40.428 2018-11-19,22.77376,40,0,0,40,41
06:22:41.427 2018-11-19,22.70713,40,0,0,40,41
06:22:42.427 2018-11-19,22.6395,40,0,0,40,41
06:22:43.443 2018-11-19,22.56878,40,0,0,40,41
06:22:44.427 2018-11-19,22.51734,40,0,0,40,41
06:22:45.458 2018-11-19,22.45168,40,0,0,40,41
06:22:46.426 2018-11-19,22.43449,40,100,17.56551,40,41
06:22:47.442 2018-11-19,23.08672,40,100,16.992,40,41
06:22:48.426 2018-11-19,24.71551,40,100,15.39939,40,41
06:22:49.488 2018-11-19,26.63164,40,100,13.36836,40,41
06:22:50.425 2018-11-19,29.03732,40,100,11.14337,40,41
06:22:51.441 2018-11-19,31.81001,40,100,8.352186,40,41
06:22:52.425 2018-11-19,34.3518,40,100,5.648201,40,41
06:22:53.487 2018-11-19,37.36269,40,62.90809,2.828552,40,41
06:22:54.424 2018-11-19,40.2333,40,0,0,40,41
06:22:55.487 2018-11-19,42.72308,40,0,0,40,41
06:22:56.424 2018-11-19,44.89709,40,0,0,40,41
06:22:57.486 2018-11-19,46.62867,40,0,0,40,41
06:22:58.424 2018-11-19,47.55239,40,0,0,40,41
06:22:59.470 2018-11-19,48.3412,40,0,0,40,41
06:23:00.423 2018-11-19,48.80896,40,0,0,40,41
06:23:01.470 2018-11-19,49.06157,40,0,0,40,41
06:23:02.438 2018-11-19,49.12765,40,0,0,40,41
06:23:03.485 2018-11-19,49.02111,40,0,0,40,41
06:23:04.469 2018-11-19,48.83168,40,0,0,40,41
06:23:05.484 2018-11-19,48.48538,40,0,0,40,41
06:23:06.500 2018-11-19,48.00167,40,0,0,40,41
06:23:07.515 2018-11-19,47.5623,40,0,0,40,41
06:23:08.531 2018-11-19,46.87079,40,0,0,40,41
06:23:09.546 2018-11-19,46.19781,40,0,0,40,41
06:23:10.546 2018-11-19,45.63517,40,0,0,40,41
06:23:11.577 2018-11-19,44.76355,40,0,0,40,41
06:23:12.577 2018-11-19,43.9864,40,0,0,40,41
06:23:13.576 2018-11-19,43.33761,40,0,0,40,41
06:23:14.576 2018-11-19,42.51501,40,0,0,40,41
06:23:15.576 2018-11-19,41.70666,40,4.047255,0,40,41
06:23:16.576 2018-11-19,41.05664,40,20.97821,0,40,41
06:23:17.575 2018-11-19,40.3615,40,45.86238,0,40,41
06:23:18.575 2018-11-19,39.98902,40,53.28086,0.01098251,40,41
06:23:19.575 2018-11-19,39.98099,40,49.04082,0.03191376,40,41
06:23:20.575 2018-11-19,40.41416,40,29.46655,0,40,41
06:23:21.590 2018-11-19,41.01689,40,0,0,40,41
06:23:22.606 2018-11-19,41.47945,40,0,0,40,41
06:23:23.621 2018-11-19,41.73739,40,0,0,40,41
06:23:24.636 2018-11-19,41.69074,40,0,0,40,41
06:23:25.652 2018-11-19,41.50521,40,0,0,40,41
06:23:26.651 2018-11-19,41.18961,40,0,0,40,41
06:23:27.651 2018-11-19,40.83721,40,10.59848,0,40,41
06:23:28.667 2018-11-19,40.44493,40,21.76689,0,40,41
06:23:29.666 2018-11-19,40.13902,40,31.06728,0,40,41
06:23:30.666 2018-11-19,40.03269,40,32.42735,0,40,41
06:23:31.682 2018-11-19,40.12613,40,26.98555,0,40,41
06:23:32.681 2018-11-19,40.37938,40,15.26532,0,40,41
06:23:33.681 2018-11-19,40.66249,40,0.09701395,0,40,41
06:23:34.681 2018-11-19,40.83125,40,0,0,40,41
06:23:35.681 2018-11-19,40.81144,40,0,0,40,41
06:23:36.680 2018-11-19,40.62175,40,3.992733,0,40,41
06:23:37.680 2018-11-19,40.31382,40,12.78061,0,40,41
06:23:38.680 2018-11-19,40.01383,40,22.30989,0,40,41
06:23:39.680 2018-11-19,39.83497,40,28.25881,0.1650276,40,41
06:23:40.679 2018-11-19,39.79725,40,28.67573,0.202755,40,41
06:23:41.679 2018-11-19,39.90749,40,24.18242,0.09846878,40,41
06:23:42.695 2018-11-19,40.12613,40,15.37845,0,40,41
06:23:43.726 2018-11-19,40.38242,40,4.341627,0,40,41
06:23:44.725 2018-11-19,40.55524,40,0,0,40,41
06:23:45.725 2018-11-19,40.54733,40,0,0,40,41
06:23:46.741 2018-11-19,40.35164,40,5.831719,0,40,41
06:23:47.756 2018-11-19,40.06554,40,15.20082,0,40,41
06:23:48.771 2018-11-19,39.834,40,23.56578,0.1659966,40,41
06:23:49.771 2018-11-19,39.65012,40,30.32548,0.3439178,40,41
06:23:50.787 2018-11-19,39.67799,40,29.98672,0.3279762,40,41
06:23:51.786 2018-11-19,39.80917,40,25.24537,0.1908302,40,41
06:23:52.802 2018-11-19,40.13111,40,14.3877,0,40,41
06:23:53.802 2018-11-19,40.4301,40,1.717035,0,40,41
06:23:54.801 2018-11-19,40.58904,40,0,0,40,41
06:23:55.801 2018-11-19,40.57809,40,0,0,40,41
06:23:56.801 2018-11-19,40.40832,40,4.303841,0,40,41
06:23:57.801 2018-11-19,40.18281,40,11.88218,0,40,41
06:23:58.801 2018-11-19,39.85785,40,22.63922,0.1302261,40,41
06:23:59.800 2018-11-19,39.67105,40,29.66334,0.3229866,40,41
06:24:00.800 2018-11-19,39.64124,40,31.2317,0.3587646,40,41
06:24:01.800 2018-11-19,39.79128,40,26.49648,0.2266083,40,41
06:24:02.800 2018-11-19,40.0715,40,16.37483,0,40,41
06:24:03.799 2018-11-19,40.33182,40,5.264933,0,40,41
06:24:04.799 2018-11-19,40.58211,40,0,0,40,41
06:24:05.799 2018-11-19,40.61688,40,0,0,40,41
06:24:06.799 2018-11-19,40.4937,40,2.196768,0,40,41
06:24:07.799 2018-11-19,40.2176,40,10.72754,0,40,41
06:24:08.798 2018-11-19,39.91953,40,20.67957,0.06258011,40,41
06:24:09.829 2018-11-19,39.72375,40,27.41966,0.2583656,40,41
06:24:10.829 2018-11-19,39.66508,40,30.42062,0.3349152,40,41
06:24:11.845 2018-11-19,39.82218,40,24.98263,0.1897392,40,41
06:24:12.844 2018-11-19,40.02782,40,18.46726,0.001983643,40,41
06:24:13.844 2018-11-19,40.3497,40,5.040722,0,40,41
06:24:14.844 2018-11-19,40.58016,40,0,0,40,41
06:24:15.844 2018-11-19,40.59999,40,0,0,40,41
06:24:16.875 2018-11-19,40.46098,40,2.800061,0,40,41
06:24:17.874 2018-11-19,40.18779,40,11.29625,0,40,41
06:24:18.874 2018-11-19,39.94934,40,18.52541,0.05065918,40,41
06:24:19.874 2018-11-19,39.72179,40,27.1796,0.2662811,40,41
06:24:20.889 2018-11-19,39.6691,40,29.68766,0.3309021,40,41
06:24:21.889 2018-11-19,39.76451,40,27.04802,0.2533798,40,41
06:24:22.905 2018-11-19,39.99704,40,18.70302,0.02084732,40,41
06:24:23.904 2018-11-19,40.25238,40,8.172354,0,40,41
06:24:24.920 2018-11-19,40.43909,40,0.2373533,0,40,41
06:24:25.935 2018-11-19,40.50865,40,0,0,40,41
06:24:26.935 2018-11-19,40.3964,40,3.410913,0,40,41
06:24:27.935 2018-11-19,40.17295,40,10.29307,0,40,41
06:24:28.934 2018-11-19,39.8868,40,19.94336,0.09531403,40,41
06:24:29.934 2018-11-19,39.68602,40,28.08427,0.3139839,40,41
06:24:30.934 2018-11-19,39.62443,40,30.83787,0.3765373,40,41
06:24:31.934 2018-11-19,39.73774,40,27.40178,0.2741928,40,41
06:24:32.933 2018-11-19,39.95433,40,19.45595,0.04566956,40,41
06:24:33.933 2018-11-19,40.26832,40,8.673366,0,40,41
06:24:34.949 2018-11-19,40.53456,40,0,0,40,41
06:24:35.980 2018-11-19,40.58113,40,0,0,40,41
06:24:36.979 2018-11-19,40.48786,40,1.411562,0,40,41
06:24:37.979 2018-11-19,40.23852,40,9.757387,0,40,41
06:24:38.995 2018-11-19,40.00507,40,17.59041,0,40,41
06:24:39.994 2018-11-19,39.76062,40,25.78315,0.2274551,40,41
06:24:40.994 2018-11-19,39.68809,40,28.87406,0.3119125,40,41
06:24:42.025 2018-11-19,39.73274,40,27.4437,0.2672577,40,41
06:24:43.025 2018-11-19,39.98219,40,19.0717,0.03569412,40,41
06:24:44.025 2018-11-19,40.28523,40,7.029751,0,40,41
06:24:45.025 2018-11-19,40.47691,40,0,0,40,41
06:24:46.024 2018-11-19,40.57225,40,0,0,40,41
06:24:47.040 2018-11-19,40.46901,40,2.008134,0,40,41
06:24:48.040 2018-11-19,40.28426,40,8.164335,0,40,41
06:24:49.039 2018-11-19,39.97429,40,17.9596,0.007823944,40,41
06:24:50.055 2018-11-19,39.75368,40,26.20234,0.2403564,40,41
06:24:51.054 2018-11-19,39.68213,40,29.02423,0.3178749,40,41
06:24:52.054 2018-11-19,39.76062,40,26.70134,0.2513084,40,41
06:24:53.054 2018-11-19,39.99315,40,18.28904,0.01877594,40,41
06:24:54.054 2018-11-19,40.23159,40,8.715623,0,40,41
06:24:55.054 2018-11-19,40.5286,40,0,0,40,41
06:24:56.053 2018-11-19,40.60108,40,0,0,40,41
06:24:57.053 2018-11-19,40.52958,40,0.3157563,0,40,41
06:24:58.053 2018-11-19,40.28925,40,7.764592,0,40,41
06:24:59.053 2018-11-19,39.99619,40,17.49373,0,40,41
06:25:00.052 2018-11-19,39.79944,40,24.52106,0.2005615,40,41
06:25:01.052 2018-11-19,39.64038,40,30.70256,0.3596191,40,41
06:25:02.052 2018-11-19,39.68809,40,29.6516,0.3238373,40,41
06:25:03.052 2018-11-19,39.83716,40,24.03799,0.162838,40,41
06:25:04.051 2018-11-19,40.15313,40,13.12512,0,40,41
06:25:05.051 2018-11-19,40.43727,40,0.9549203,0,40,41
06:25:06.051 2018-11-19,40.55049,40,0,0,40,41
06:25:07.051 2018-11-19,40.5038,40,0.9284925,0,40,41
06:25:08.051 2018-11-19,40.3002,40,7.085571,0,40,41
06:25:09.050 2018-11-19,40.07965,40,14.79947,0,40,41
06:25:10.050 2018-11-19,39.78058,40,24.98456,0.2074928,40,41
06:25:11.050 2018-11-19,39.62054,40,31.44037,0.3734932,40,41
06:25:12.050 2018-11-19,39.63247,40,31.68193,0.367527,40,41
06:25:13.049 2018-11-19,39.84811,40,24.57103,0.1697731,40,41
06:25:14.049 2018-11-19,40.18002,40,12.32657,0,40,41
06:25:15.049 2018-11-19,40.43131,40,1.035217,0,40,41
