DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
02:32:52.743 2018-11-21,21.24038,60,0,0,60,61
02:32:53.743 2018-11-21,21.23529,60,0,0,60,61
02:32:54.758 2018-11-21,21.26269,60,100,38.73731,60,61
02:32:55.773 2018-11-21,21.50216,60,100,38.52209,60,61
02:32:56.773 2018-11-21,21.98116,60,100,38.01884,60,61
02:32:57.773 2018-11-21,22.78204,60,100,37.27853,60,61
02:32:58.773 2018-11-21,23.7397,60,100,36.32082,60,61
02:32:59.772 2018-11-21,24.61399,60,100,35.38601,60,61
02:33:00.772 2018-11-21,25.7583,60,100,34.31419,60,61
02:33:01.772 2018-11-21,26.98197,60,100,33.08441,60,61
02:33:02.772 2018-11-21,28.0133,60,100,31.9867,60,61
02:33:03.787 2018-11-21,29.31655,60,100,30.76775,60,61
02:33:04.834 2018-11-21,30.72254,60,100,29.34962,60,61
02:33:05.802 2018-11-21,31.73415,60,100,28.26585,60,61
02:33:06.864 2018-11-21,33.27586,60,100,26.79805,60,61
02:33:07.802 2018-11-21,34.4619,60,100,25.61,60,61
02:33:08.864 2018-11-21,35.68852,60,100,24.45415,60,61
02:33:09.801 2018-11-21,36.9396,60,100,23.15007,60,61
02:33:10.863 2018-11-21,38.48084,60,100,21.60178,60,61
02:33:11.801 2018-11-21,39.44847,60,100,20.55153,60,61
02:33:12.863 2018-11-21,41.03989,60,100,19.0385,60,61
02:33:13.816 2018-11-21,42.41999,60,100,17.66331,60,61
02:33:14.878 2018-11-21,43.68558,60,100,16.45707,60,61
02:33:15.815 2018-11-21,44.90026,60,100,15.17693,60,61
02:33:16.878 2018-11-21,46.07838,60,100,13.97998,60,61
02:33:17.815 2018-11-21,46.61215,60,100,13.38785,60,61
02:33:18.877 2018-11-21,47.07056,60,100,12.94416,60,61
02:33:19.814 2018-11-21,48.31974,60,100,11.7691,60,61
02:33:20.892 2018-11-21,49.73938,60,100,10.43716,60,61
02:33:21.814 2018-11-21,51.40683,60,100,8.70546,60,61
02:33:22.876 2018-11-21,53.42666,60,100,6.685486,60,61
02:33:23.813 2018-11-21,54.89667,60,81.56911,5.103329,60,61
02:33:24.891 2018-11-21,56.68081,60,45.13362,3.41156,60,61
02:33:25.813 2018-11-21,57.93138,60,13.67309,2.139286,60,61
02:33:26.891 2018-11-21,58.98605,60,0,1.13261,60,61
02:33:27.812 2018-11-21,59.96869,60,0,0.08425903,60,61
02:33:28.875 2018-11-21,60.8206,60,0,0,60,61
02:33:29.812 2018-11-21,61.29007,60,0,0,60,61
02:33:30.890 2018-11-21,61.89467,60,0,0,60,61
02:33:31.811 2018-11-21,62.26005,60,0,0,60,61
02:33:32.873 2018-11-21,62.51278,60,0,0,60,61
02:33:33.826 2018-11-21,62.69496,60,0,0,60,61
02:33:34.889 2018-11-21,62.78406,60,0,0,60,61
02:33:35.826 2018-11-21,62.80567,60,0,0,60,61
02:33:36.841 2018-11-21,62.74103,60,0,0,60,61
02:33:37.825 2018-11-21,62.59695,60,0,0,60,61
02:33:38.888 2018-11-21,62.44812,60,0,0,60,61
02:33:39.825 2018-11-21,62.21398,60,0,0,60,61
02:33:40.887 2018-11-21,61.9142,60,0,0,60,61
02:33:41.824 2018-11-21,61.69973,60,0,0,60,61
02:33:42.886 2018-11-21,61.29102,60,11.63022,0,60,61
02:33:43.824 2018-11-21,60.96572,60,27.95533,0,60,61
02:33:44.886 2018-11-21,60.62369,60,40.96515,0,60,61
02:33:45.823 2018-11-21,60.3482,60,53.04438,0,60,61
02:33:46.885 2018-11-21,60.09621,60,59.84958,0,60,61
02:33:47.823 2018-11-21,60.0129,60,58.8335,0,60,61
02:33:48.869 2018-11-21,59.97078,60,54.96343,0.01441956,60,61
02:33:49.822 2018-11-21,60.00114,60,50.87722,0,60,61
02:33:50.884 2018-11-21,60.08748,60,45.4734,0,60,61
02:33:51.822 2018-11-21,60.18843,60,37.77856,0,60,61
02:33:52.868 2018-11-21,60.31784,60,30.11477,0,60,61
02:33:53.821 2018-11-21,60.39431,60,26.07836,0,60,61
02:33:54.868 2018-11-21,60.46583,60,22.49967,0,60,61
02:33:55.821 2018-11-21,60.48935,60,20.90601,0,60,61
02:33:56.883 2018-11-21,60.49923,60,19.88527,0,60,61
02:33:57.805 2018-11-21,60.46489,60,20.92945,0,60,61
02:33:58.882 2018-11-21,60.3962,60,23.28778,0,60,61
02:33:59.804 2018-11-21,60.35313,60,24.88703,0,60,61
02:34:00.866 2018-11-21,60.2482,60,29.03297,0,60,61
02:34:01.804 2018-11-21,60.17079,60,31.44555,0,60,61
02:34:02.881 2018-11-21,60.09242,60,33.49399,0,60,61
02:34:03.803 2018-11-21,60.02277,60,36.0661,0,60,61
02:34:04.865 2018-11-21,59.96394,60,36.98233,0.03017044,60,61
02:34:05.802 2018-11-21,59.95218,60,36.57905,0.04781723,60,61
02:34:06.865 2018-11-21,59.94725,60,35.44593,0.04781723,60,61
02:34:07.802 2018-11-21,59.95901,60,34.56949,0.04098892,60,61
02:34:08.864 2018-11-21,59.96489,60,34.02277,0.03510666,60,61
02:34:09.801 2018-11-21,59.98254,60,33.02134,0.01745605,60,61
02:34:10.864 2018-11-21,60.0169,60,30.90203,0,60,61
02:34:11.801 2018-11-21,60.04042,60,30.19552,0,60,61
02:34:12.879 2018-11-21,60.05902,60,29.23717,0,60,61
02:34:13.801 2018-11-21,60.05997,60,29.77773,0,60,61
02:34:14.878 2018-11-21,60.08558,60,29.04939,0,60,61
02:34:15.800 2018-11-21,60.09242,60,28.19024,0,60,61
02:34:16.862 2018-11-21,60.09735,60,28.58379,0,60,61
02:34:17.799 2018-11-21,60.08654,60,28.52163,0,60,61
02:34:18.877 2018-11-21,60.063,60,29.57171,0,60,61
02:34:19.799 2018-11-21,60.05029,60,29.59955,0,60,61
02:34:20.877 2018-11-21,60.02676,60,30.23786,0,60,61
02:34:21.814 2018-11-21,60.00227,60,31.72389,0,60,61
02:34:22.876 2018-11-21,59.97969,60,32.08712,0.01441956,60,61
02:34:23.814 2018-11-21,59.97381,60,32.35698,0.0261879,60,61
02:34:24.876 2018-11-21,59.963,60,31.80803,0.02220535,60,61
02:34:25.813 2018-11-21,59.97381,60,31.91036,0.0261879,60,61
02:34:26.875 2018-11-21,59.97874,60,32.15256,0.0311203,60,61
02:34:27.828 2018-11-21,59.97477,60,31.82336,0.02523422,60,61
02:34:28.890 2018-11-21,59.98558,60,31.03974,0.009490967,60,61
02:34:29.828 2018-11-21,59.99051,60,31.18253,0.009490967,60,61
02:34:30.874 2018-11-21,59.99639,60,31.52393,0.01347351,60,61
02:34:31.827 2018-11-21,59.99639,60,31.0342,0.003612518,60,61
02:34:32.874 2018-11-21,59.99639,60,31.13116,0.003612518,60,61
02:34:33.827 2018-11-21,59.98748,60,31.66946,0.01251984,60,61
02:34:34.873 2018-11-21,59.99241,60,30.83389,0,60,61
02:34:35.826 2018-11-21,59.99639,60,31.24076,0.003612518,60,61
02:34:36.873 2018-11-21,59.98748,60,31.1731,0.002651215,60,61
02:34:37.826 2018-11-21,60.02485,60,29.92773,0,60,61
02:34:38.872 2018-11-21,60.01101,60,30.31909,0,60,61
02:34:39.825 2018-11-21,60.02676,60,29.83536,0,60,61
02:34:40.887 2018-11-21,60.02087,60,30.22682,0,60,61
02:34:41.825 2018-11-21,60.03566,60,29.40009,0,60,61
02:34:42.871 2018-11-21,60.0258,60,29.99642,0,60,61
02:34:43.824 2018-11-21,60.03662,60,29.32267,0,60,61
02:34:44.886 2018-11-21,60.03074,60,29.59976,0,60,61
02:34:45.824 2018-11-21,60.02087,60,30.14692,0,60,61
02:34:46.886 2018-11-21,60.01499,60,29.98921,0,60,61
02:34:47.823 2018-11-21,60.0239,60,29.73808,0,60,61
02:34:48.870 2018-11-21,60.01118,60,30.30386,0,60,61
02:34:49.823 2018-11-21,59.99544,60,31.08352,0.004562378,60,61
02:34:50.869 2018-11-21,59.96204,60,32.18995,0.02809143,60,61
02:34:51.822 2018-11-21,59.94344,60,33.5332,0.0565567,60,61
02:34:52.884 2018-11-21,59.9533,60,32.8884,0.05162048,60,61
02:34:53.822 2018-11-21,59.95426,60,32.49318,0.04573822,60,61
02:34:54.884 2018-11-21,59.97095,60,31.63635,0.0290451,60,61
02:34:55.805 2018-11-21,59.97286,60,31.72704,0.02714157,60,61
02:34:56.883 2018-11-21,59.99051,60,30.97064,0.009490967,60,61
