DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
01:52:53.928 2018-11-21,21.20727,60,0,0,60,61
01:52:54.928 2018-11-21,21.21234,60,0,0,60,61
01:52:55.927 2018-11-21,21.21743,60,100,38.78257,60,61
01:52:56.927 2018-11-21,21.273,60,100,38.727,60,61
01:52:57.927 2018-11-21,21.57314,60,100,38.42686,60,61
01:52:58.927 2018-11-21,22.25523,60,100,37.74477,60,61
01:52:59.926 2018-11-21,23.04282,60,100,36.95718,60,61
01:53:00.926 2018-11-21,23.89444,60,100,36.10556,60,61
01:53:01.926 2018-11-21,24.95993,60,100,35.04007,60,61
01:53:02.926 2018-11-21,26.00627,60,100,33.99373,60,61
01:53:03.925 2018-11-21,27.14422,60,100,32.93421,60,61
01:53:04.941 2018-11-21,28.37622,60,100,31.69609,60,61
01:53:05.940 2018-11-21,29.47844,60,100,30.52156,60,61
01:53:06.940 2018-11-21,30.72188,60,100,29.36831,60,61
01:53:07.955 2018-11-21,32.03575,60,100,28.03632,60,61
01:53:08.986 2018-11-21,33.23419,60,100,26.76581,60,61
01:53:09.986 2018-11-21,34.54901,60,100,25.45099,60,61
01:53:10.986 2018-11-21,35.98495,60,100,24.01505,60,61
01:53:11.985 2018-11-21,37.22277,60,100,22.77723,60,61
01:53:12.985 2018-11-21,38.61248,60,100,21.38752,60,61
01:53:13.985 2018-11-21,40.03912,60,100,19.96088,60,61
01:53:14.985 2018-11-21,41.22292,60,100,18.77708,60,61
01:53:15.984 2018-11-21,42.46099,60,100,17.53901,60,61
01:53:16.984 2018-11-21,43.70468,60,100,16.29532,60,61
01:53:17.984 2018-11-21,44.57302,60,100,15.42698,60,61
01:53:18.984 2018-11-21,45.5585,60,100,14.50085,60,61
01:53:19.983 2018-11-21,46.48585,60,100,13.56752,60,61
01:53:20.999 2018-11-21,47.38997,60,100,12.61003,60,61
01:53:21.998 2018-11-21,48.44937,60,100,11.60984,60,61
01:53:22.998 2018-11-21,48.94765,60,100,11.07011,60,61
