DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
02:08:56.012 2018-11-21,21.58339,60,0,0,60,61
02:08:57.028 2018-11-21,21.58241,60,0,0,60,61
02:08:58.043 2018-11-21,21.5875,60,100,38.4125,60,61
02:08:59.027 2018-11-21,21.74613,60,100,38.27206,60,61
02:09:00.027 2018-11-21,22.13313,60,100,37.92239,60,61
02:09:01.027 2018-11-21,22.84403,60,100,37.20443,60,61
02:09:02.026 2018-11-21,23.68468,60,100,36.36374,60,61
02:09:03.026 2018-11-21,24.47025,60,100,35.63258,60,61
02:09:04.026 2018-11-21,25.54025,60,100,34.52621,60,61
02:09:05.026 2018-11-21,26.65047,60,100,33.40989,60,61
02:09:06.025 2018-11-21,27.60976,60,100,32.52701,60,61
02:09:07.025 2018-11-21,28.86939,60,100,31.20892,60,61
02:09:08.025 2018-11-21,30.12753,60,100,29.94467,60,61
02:09:09.025 2018-11-21,31.2029,60,100,28.94038,60,61
02:09:10.024 2018-11-21,32.59129,60,100,27.48674,60,61
02:09:11.024 2018-11-21,33.95891,60,100,26.11902,60,61
02:09:12.024 2018-11-21,35.09126,60,100,25.05845,60,61
02:09:13.024 2018-11-21,36.55331,60,100,23.53639,60,61
02:09:14.023 2018-11-21,37.99665,60,100,22.07502,60,61
02:09:15.023 2018-11-21,39.16063,60,100,20.98853,60,61
02:09:16.023 2018-11-21,40.61445,60,100,19.46897,60,61
02:09:17.022 2018-11-21,41.96318,60,100,18.10824,60,61
02:09:18.022 2018-11-21,43.03898,60,100,17.09779,60,61
02:09:19.022 2018-11-21,44.19892,60,100,15.86049,60,61
02:09:20.022 2018-11-21,45.01349,60,100,15.02807,60,61
02:09:21.021 2018-11-21,45.61603,60,100,14.4592,60,61
02:09:22.021 2018-11-21,46.48804,60,100,13.56533,60,61
02:09:23.021 2018-11-21,47.32985,60,100,12.70571,60,61
02:09:24.021 2018-11-21,47.42563,60,100,12.56444,60,61
02:09:25.020 2018-11-21,48.08325,60,100,11.98191,60,61
02:09:26.020 2018-11-21,49.67071,60,100,10.43579,60,61
02:09:27.020 2018-11-21,51.2063,60,100,8.981892,60,61
02:09:28.020 2018-11-21,52.93121,60,100,7.157352,60,61
02:09:29.019 2018-11-21,54.27186,60,100,5.798939,60,61
02:09:30.019 2018-11-21,55.28133,60,100,4.85334,60,61
02:09:31.019 2018-11-21,56.59379,60,67.84785,3.482803,60,61
02:09:32.018 2018-11-21,57.81307,60,31.81728,2.251701,60,61
02:09:33.018 2018-11-21,58.76281,60,4.093094,1.345997,60,61
02:09:34.018 2018-11-21,59.87307,60,0,0.1916351,60,61
02:09:35.018 2018-11-21,60.77302,60,0,0,60,61
02:09:36.018 2018-11-21,61.38646,60,0,0,60,61
02:09:37.017 2018-11-21,62.05474,60,0,0,60,61
02:09:38.017 2018-11-21,62.57195,60,0,0,60,61
02:09:39.017 2018-11-21,62.94123,60,0,0,60,61
02:09:40.017 2018-11-21,63.30459,60,0,0,60,61
02:09:41.016 2018-11-21,63.55817,60,0,0,60,61
02:09:42.016 2018-11-21,63.70504,60,0,0,60,61
02:09:43.016 2018-11-21,63.82444,60,0,0,60,61
02:09:44.016 2018-11-21,63.87541,60,0,0,60,61
02:09:45.015 2018-11-21,63.86954,60,0,0,60,61
02:09:46.015 2018-11-21,63.79905,60,0,0,60,61
02:09:47.015 2018-11-21,63.69139,60,0,0,60,61
02:09:48.015 2018-11-21,63.53753,60,0,0,60,61
02:09:49.014 2018-11-21,63.33682,60,0,0,60,61
02:09:50.014 2018-11-21,63.09003,60,0,0,60,61
02:09:51.014 2018-11-21,62.87659,60,0,0,60,61
02:09:52.014 2018-11-21,62.55925,60,0,0,60,61
02:09:53.013 2018-11-21,62.21439,60,0,0,60,61
02:09:54.013 2018-11-21,61.92446,60,0,0,60,61
02:09:55.013 2018-11-21,61.5139,60,3.444004,0,60,61
02:09:56.012 2018-11-21,61.10137,60,21.17974,0,60,61
02:09:57.012 2018-11-21,60.77111,60,33.69111,0,60,61
02:09:58.012 2018-11-21,60.36625,60,50.88731,0,60,61
02:09:59.012 2018-11-21,60.05942,60,60.58232,0,60,61
02:10:00.011 2018-11-21,59.8761,60,64.59909,0.1161156,60,61
02:10:01.011 2018-11-21,59.7182,60,68.12103,0.2759132,60,61
02:10:02.011 2018-11-21,59.65539,60,66.67065,0.3446121,60,61
02:10:03.011 2018-11-21,59.67304,60,61.79718,0.327919,60,61
02:10:04.010 2018-11-21,59.75748,60,55.63442,0.2484016,60,61
02:10:05.026 2018-11-21,59.83778,60,51.34128,0.1681099,60,61
02:10:06.025 2018-11-21,59.94271,60,46.95467,0.06905365,60,61
02:10:07.025 2018-11-21,60.08883,60,39.69806,0,60,61
02:10:08.025 2018-11-21,60.23399,60,32.77843,0,60,61
02:10:09.025 2018-11-21,60.33494,60,29.48898,0,60,61
02:10:10.024 2018-11-21,60.43588,60,23.94698,0,60,61
02:10:11.024 2018-11-21,60.5389,60,17.95652,0,60,61
02:10:12.024 2018-11-21,60.56622,60,16.14482,0,60,61
02:10:13.024 2018-11-21,60.58387,60,15.47882,0,60,61
02:10:14.023 2018-11-21,60.58197,60,14.77078,0,60,61
02:10:15.023 2018-11-21,60.54667,60,15.68584,0,60,61
02:10:16.023 2018-11-21,60.4594,60,19.06504,0,60,61
02:10:17.022 2018-11-21,60.37915,60,21.44925,0,60,61
02:10:18.022 2018-11-21,60.282,60,24.71578,0,60,61
02:10:19.022 2018-11-21,60.16436,60,29.50143,0,60,61
02:10:20.022 2018-11-21,60.05847,60,33.44745,0,60,61
02:10:21.021 2018-11-21,59.98104,60,35.26536,0.01212311,60,61
02:10:22.021 2018-11-21,59.88882,60,38.59415,0.1053009,60,61
02:10:23.021 2018-11-21,59.84175,60,39.77027,0.1582489,60,61
02:10:24.021 2018-11-21,59.81329,60,39.10163,0.1719131,60,61
02:10:25.020 2018-11-21,59.82126,60,38.64269,0.1787415,60,61
02:10:26.020 2018-11-21,59.81139,60,38.99232,0.1886139,60,61
02:10:27.020 2018-11-21,59.8241,60,38.39255,0.1768456,60,61
02:10:28.020 2018-11-21,59.85162,60,37.13329,0.1483841,60,61
02:10:29.050 2018-11-21,59.87022,60,36.74983,0.1297798,60,61
02:10:30.050 2018-11-21,59.89565,60,35.48632,0.0954361,60,61
02:10:31.050 2018-11-21,59.94575,60,34.28289,0.05918121,60,61
02:10:32.050 2018-11-21,59.97118,60,33.44558,0.02882004,60,61
02:10:33.049 2018-11-21,60.01634,60,31.37999,0,60,61
02:10:34.049 2018-11-21,60.05847,60,29.47081,0,60,61
02:10:35.065 2018-11-21,60.09377,60,28.86852,0,60,61
02:10:36.064 2018-11-21,60.11236,60,27.45551,0,60,61
02:10:37.064 2018-11-21,60.13987,60,27.45334,0,60,61
02:10:38.064 2018-11-21,60.15657,60,26.35492,0,60,61
02:10:39.063 2018-11-21,60.15847,60,27.39446,0,60,61
02:10:40.063 2018-11-21,60.15164,60,26.39919,0,60,61
02:10:41.063 2018-11-21,60.12716,60,27.76635,0,60,61
02:10:42.063 2018-11-21,60.09187,60,29.44549,0,60,61
02:10:43.062 2018-11-21,60.06151,60,30.11215,0,60,61
02:10:44.062 2018-11-21,60.01634,60,31.95541,0,60,61
02:10:45.062 2018-11-21,59.98598,60,32.47814,0.008132935,60,61
02:10:46.077 2018-11-21,59.96739,60,33.08671,0.03261185,60,61
02:10:47.077 2018-11-21,59.94481,60,33.74868,0.05519485,60,61
02:10:48.077 2018-11-21,59.93892,60,33.33957,0.05614853,60,61
02:10:49.076 2018-11-21,59.94481,60,33.32359,0.0601387,60,61
02:10:50.076 2018-11-21,59.93,60,33.87312,0.06999588,60,61
02:10:51.092 2018-11-21,59.94973,60,32.66349,0.05026627,60,61
02:10:52.154 2018-11-21,59.93,60,33.99635,0.06999588,60,61
02:10:53.091 2018-11-21,59.94575,60,33.22266,0.05425262,60,61
02:10:54.169 2018-11-21,59.95846,60,32.77601,0.04153824,60,61
02:10:55.090 2018-11-21,59.98104,60,31.78028,0.01895523,60,61
02:10:56.153 2018-11-21,59.99869,60,31.20984,0.001308441,60,61
02:10:57.090 2018-11-21,60.02128,60,30.62427,0,60,61
02:10:58.152 2018-11-21,60.04481,60,29.22104,0,60,61
02:10:59.089 2018-11-21,60.06739,60,28.29286,0,60,61
02:11:00.167 2018-11-21,60.07516,60,28.22755,0,60,61
02:11:01.089 2018-11-21,60.08409,60,27.88638,0,60,61
02:11:02.151 2018-11-21,60.06739,60,28.91164,0,60,61
