DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
01:37:54.491 2018-11-21,59.86156,60,36.35885,0.138443,60,61
01:37:55.506 2018-11-21,59.92627,60,33.91768,0.06879807,60,61
01:37:56.537 2018-11-21,59.99686,60,31.80418,0.003135681,60,61
01:37:57.537 2018-11-21,60.04885,60,30.21683,0,60,61
01:37:58.536 2018-11-21,60.09783,60,29.00534,0,60,61
01:37:59.536 2018-11-21,60.13312,60,27.65693,0,60,61
01:38:00.536 2018-11-21,60.16746,60,26.38869,0,60,61
01:38:01.536 2018-11-21,60.19099,60,25.50042,0,60,61
01:38:02.535 2018-11-21,60.19099,60,25.74973,0,60,61
01:38:03.535 2018-11-21,60.18908,60,25.70913,0,60,61
01:38:04.535 2018-11-21,60.15967,60,27.06586,0,60,61
01:38:05.534 2018-11-21,60.11945,60,28.72177,0,60,61
01:38:06.534 2018-11-21,60.08018,60,30.18966,0,60,61
01:38:07.534 2018-11-21,60.07048,60,29.81849,0,60,61
01:38:08.534 2018-11-21,60.04695,60,30.42705,0,60,61
01:38:09.533 2018-11-21,60.01945,60,31.3126,0,60,61
01:38:10.533 2018-11-21,59.99989,60,31.78339,0.0001144409,60,61
01:38:11.533 2018-11-21,59.97143,60,32.80293,0.02856827,60,61
01:38:12.532 2018-11-21,59.95871,60,32.981,0.04129028,60,61
01:38:13.548 2018-11-21,59.93613,60,33.86826,0.06386566,60,61
01:38:14.548 2018-11-21,59.93613,60,33.55893,0.06386566,60,61
01:38:15.547 2018-11-21,59.92532,60,34.06754,0.07468033,60,61
01:38:16.547 2018-11-21,59.92723,60,33.9439,0.07276535,60,61
01:38:17.547 2018-11-21,59.95966,60,32.55553,0.04621887,60,61
01:38:18.546 2018-11-21,59.97048,60,31.93579,0.02952194,60,61
01:38:19.546 2018-11-21,59.98129,60,31.6816,0.0187149,60,61
01:38:20.546 2018-11-21,59.99305,60,31.25587,0.006946564,60,61
01:38:21.546 2018-11-21,59.98908,60,31.79631,0.01092148,60,61
01:38:22.545 2018-11-21,60.0107,60,30.77664,0,60,61
01:38:23.545 2018-11-21,60.00768,60,31.612,0,60,61
01:38:24.545 2018-11-21,60.02533,60,30.41414,0,60,61
01:38:25.544 2018-11-21,60.04202,60,29.64685,0,60,61
01:38:26.544 2018-11-21,60.05284,60,29.23162,0,60,61
01:38:27.544 2018-11-21,60.06856,60,28.37978,0,60,61
01:38:28.544 2018-11-21,60.04107,60,30.0931,0,60,61
01:38:29.543 2018-11-21,60.0293,60,30.6242,0,60,61
01:38:30.543 2018-11-21,60.02247,60,30.71137,0,60,61
01:38:31.543 2018-11-21,60.01466,60,30.88353,0,60,61
01:38:32.542 2018-11-21,59.98717,60,32.16679,0.01282883,60,61
01:38:33.542 2018-11-21,59.98033,60,32.23447,0.01967239,60,61
01:38:34.542 2018-11-21,59.97937,60,32.37875,0.02651215,60,61
01:38:35.542 2018-11-21,59.96761,60,32.53806,0.03239441,60,61
01:38:36.541 2018-11-21,59.96172,60,32.73404,0.03827667,60,61
01:38:37.541 2018-11-21,59.95679,60,32.94243,0.04320908,60,61
01:38:38.541 2018-11-21,59.96761,60,32.29056,0.03239441,60,61
01:38:39.540 2018-11-21,59.96856,60,32.35532,0.03144073,60,61
01:38:40.540 2018-11-21,59.96856,60,32.56429,0.03144073,60,61
01:38:41.540 2018-11-21,59.97349,60,32.39431,0.02651215,60,61
01:38:42.540 2018-11-21,59.97937,60,32.13181,0.02062607,60,61
01:38:43.539 2018-11-21,59.99607,60,31.34582,0.003932953,60,61
01:38:44.539 2018-11-21,59.97636,60,32.78823,0.02364349,60,61
01:38:45.539 2018-11-21,59.99113,60,31.94789,0.008865356,60,61
01:38:46.554 2018-11-21,60.00482,60,31.3275,0,60,61
01:38:47.554 2018-11-21,60.01562,60,30.95433,0,60,61
01:38:48.554 2018-11-21,60.03136,60,30.12723,0,60,61
01:38:49.553 2018-11-21,60.0382,60,30.18737,0,60,61
