DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
01:24:59.766 2018-11-21,59.71746,60,42.82806,0.2825394,60,61
01:25:00.703 2018-11-21,59.71062,60,42.674,0.2893753,60,61
01:25:01.765 2018-11-21,59.70078,60,43.33389,0.2992249,60,61
01:25:02.702 2018-11-21,59.73908,60,41.90294,0.270771,60,61
01:25:03.780 2018-11-21,59.76056,60,41.03122,0.2394371,60,61
01:25:04.702 2018-11-21,59.81159,60,39.39997,0.1942902,60,61
01:25:05.780 2018-11-21,59.87043,60,37.11837,0.1295738,60,61
01:25:06.702 2018-11-21,59.9283,60,34.99756,0.07169724,60,61
01:25:07.764 2018-11-21,59.98713,60,33.55609,0.01875305,60,61
01:25:08.701 2018-11-21,60.04007,60,30.78274,0,60,61
01:25:09.763 2018-11-21,60.08713,60,29.92662,0,60,61
01:25:10.701 2018-11-21,60.12735,60,29.15387,0,60,61
01:25:11.778 2018-11-21,60.1725,60,26.60934,0,60,61
01:25:12.700 2018-11-21,60.19206,60,26.03759,0,60,61
01:25:13.778 2018-11-21,60.21463,60,24.95966,0,60,61
01:25:14.700 2018-11-21,60.22052,60,24.38647,0,60,61
01:25:15.777 2018-11-21,60.21956,60,24.55617,0,60,61
01:25:16.699 2018-11-21,60.20287,60,24.21466,0,60,61
01:25:17.777 2018-11-21,60.18427,60,25.15506,0,60,61
01:25:18.699 2018-11-21,60.17059,60,26.19904,0,60,61
01:25:19.777 2018-11-21,60.13625,60,26.70167,0,60,61
01:25:20.698 2018-11-21,60.10096,60,28.22828,0,60,61
01:25:21.776 2018-11-21,60.0539,60,29.5745,0,60,61
01:25:22.729 2018-11-21,60.00875,60,31.27912,0,60,61
01:25:23.776 2018-11-21,59.97742,60,32.03391,0.02257919,60,61
01:25:24.729 2018-11-21,59.95294,60,32.57517,0.04705811,60,61
01:25:25.791 2018-11-21,59.94021,60,32.49112,0.05979156,60,61
01:25:26.728 2018-11-21,59.90286,60,34.29033,0.09714127,60,61
01:25:27.775 2018-11-21,59.90094,60,33.98188,0.09905624,60,61
01:25:28.728 2018-11-21,59.90395,60,33.53545,0.09604645,60,61
01:25:29.774 2018-11-21,59.87646,60,34.80912,0.1176567,60,61
01:25:30.727 2018-11-21,59.87153,60,35.45032,0.1284714,60,61
01:25:31.774 2018-11-21,59.88138,60,34.93581,0.1186218,60,61
01:25:32.727 2018-11-21,59.88823,60,34.809,0.1117706,60,61
01:25:33.773 2018-11-21,59.90588,60,34.2841,0.09412384,60,61
01:25:34.726 2018-11-21,59.92749,60,33.55395,0.07251358,60,61
01:25:35.788 2018-11-21,59.94117,60,33.7211,0.06471252,60,61
01:25:36.726 2018-11-21,59.94801,60,33.5168,0.05199051,60,61
01:25:37.788 2018-11-21,59.96962,60,32.79689,0.03037643,60,61
01:25:38.725 2018-11-21,59.98235,60,32.53934,0.0176506,60,61
01:25:39.772 2018-11-21,60.01668,60,31.00276,0,60,61
01:25:40.725 2018-11-21,60.03529,60,30.22102,0,60,61
01:25:41.787 2018-11-21,60.06375,60,29.38632,0,60,61
01:25:42.724 2018-11-21,60.07647,60,28.05171,0,60,61
01:25:43.787 2018-11-21,60.1089,60,27.36153,0,60,61
01:25:44.708 2018-11-21,60.12067,60,27.15518,0,60,61
01:25:45.770 2018-11-21,60.12067,60,26.91776,0,60,61
01:25:46.708 2018-11-21,60.11573,60,27.155,0,60,61
01:25:47.770 2018-11-21,60.09904,60,27.9289,0,60,61
01:25:48.707 2018-11-21,60.08139,60,28.30092,0,60,61
01:25:49.769 2018-11-21,60.06279,60,29.13139,0,60,61
01:25:50.707 2018-11-21,60.0383,60,30.32192,0,60,61
01:25:51.785 2018-11-21,60.00397,60,31.37639,0,60,61
01:25:52.706 2018-11-21,59.98631,60,31.80809,0.01368713,60,61
01:25:53.784 2018-11-21,59.96278,60,32.52393,0.03721619,60,61
01:25:54.706 2018-11-21,59.95595,60,32.51032,0.04405212,60,61
01:25:55.768 2018-11-21,59.95404,60,32.25389,0.04595566,60,61
01:25:56.705 2018-11-21,59.92844,60,32.73637,0.05677032,60,61
01:25:57.783 2018-11-21,59.93639,60,33.0125,0.06360626,60,61
01:25:58.705 2018-11-21,59.92653,60,33.58739,0.07346725,60,61
01:25:59.783 2018-11-21,59.93639,60,33.10941,0.06360626,60,61
01:26:00.704 2018-11-21,59.93242,60,33.16111,0.06265259,60,61
01:26:01.767 2018-11-21,59.94323,60,33.04179,0.05677032,60,61
01:26:02.704 2018-11-21,59.96581,60,32.02229,0.03419495,60,61
01:26:03.780 2018-11-21,59.98345,60,31.42017,0.01654816,60,61
01:26:04.702 2018-11-21,59.98441,60,31.46405,0.01066208,60,61
01:26:05.780 2018-11-21,60.0178,60,30.13986,0,60,61
01:26:06.701 2018-11-21,60.04037,60,29.7323,0,60,61
01:26:07.779 2018-11-21,60.04324,60,29.43256,0,60,61
01:26:08.701 2018-11-21,60.06581,60,28.41348,0,60,61
01:26:09.779 2018-11-21,60.08251,60,27.64981,0,60,61
01:26:10.700 2018-11-21,60.07854,60,27.74706,0,60,61
01:26:11.778 2018-11-21,60.08839,60,27.46544,0,60,61
01:26:12.700 2018-11-21,60.07758,60,27.42879,0,60,61
01:26:13.778 2018-11-21,60.07662,60,27.87425,0,60,61
01:26:14.699 2018-11-21,60.08648,60,27.65255,0,60,61
01:26:15.777 2018-11-21,60.07964,60,27.20827,0,60,61
01:26:16.699 2018-11-21,60.05214,60,28.21056,0,60,61
01:26:17.777 2018-11-21,60.03354,60,29.19467,0,60,61
01:26:18.698 2018-11-21,60.00603,60,30.10078,0,60,61
01:26:19.776 2018-11-21,59.99824,60,30.22386,0.00176239,60,61
01:26:20.698 2018-11-21,59.96978,60,31.75728,0.03514862,60,61
01:26:21.776 2018-11-21,59.95802,60,31.65108,0.04198456,60,61
