DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
05:21:36.721 2018-11-20,59.85697,60,38.03408,0.1430283,60,61
05:21:37.736 2018-11-20,60.06876,60,31.58622,0,60,61
05:21:38.736 2018-11-20,60.24427,60,24.86854,0,60,61
05:21:39.736 2018-11-20,60.33345,60,20.80405,0,60,61
05:21:40.751 2018-11-20,60.39531,60,17.32646,0,60,61
05:21:41.782 2018-11-20,60.31676,60,19.08878,0,60,61
05:21:42.782 2018-11-20,60.25015,60,20.59583,0,60,61
05:21:43.781 2018-11-20,60.07956,60,25.5881,0,60,61
05:21:44.781 2018-11-20,59.92566,60,30.74257,0.06845856,60,61
05:21:45.781 2018-11-20,59.808,60,34.71286,0.1842117,60,61
05:21:46.781 2018-11-20,59.72469,60,38.20547,0.2694206,60,61
05:21:47.780 2018-11-20,59.6854,60,40.69621,0.3146019,60,61
05:21:48.780 2018-11-20,59.70893,60,41.42004,0.3068085,60,61
05:21:49.780 2018-11-20,59.79036,60,38.96085,0.2155304,60,61
05:21:50.780 2018-11-20,59.90308,60,35.76421,0.1028023,60,61
05:21:51.780 2018-11-20,60.005,60,33.14625,0.006767273,60,61
05:21:52.779 2018-11-20,60.15015,60,27.7261,0,60,61
05:21:53.779 2018-11-20,60.22948,60,24.58802,0,60,61
05:21:54.779 2018-11-20,60.27368,60,21.8634,0,60,61
05:21:55.779 2018-11-20,60.26191,60,21.48535,0,60,61
05:21:56.794 2018-11-20,60.19721,60,23.34121,0,60,61
05:21:57.794 2018-11-20,60.10405,60,25.10063,0,60,61
05:21:58.794 2018-11-20,59.98449,60,29.48335,0.009628296,60,61
05:21:59.809 2018-11-20,59.85697,60,33.91402,0.1371422,60,61
05:22:00.824 2018-11-20,59.76379,60,37.5282,0.23032,60,61
05:22:01.824 2018-11-20,59.73835,60,39.22213,0.2616501,60,61
05:22:02.824 2018-11-20,59.74614,60,39.719,0.2538605,60,61
05:22:03.824 2018-11-20,59.80991,60,38.41397,0.1959724,60,61
05:22:04.823 2018-11-20,59.91484,60,35.33432,0.09104156,60,61
05:22:05.823 2018-11-20,60.03155,60,31.45654,0,60,61
05:22:06.823 2018-11-20,60.11486,60,28.94586,0,60,61
05:22:07.823 2018-11-20,60.1845,60,26.25539,0,60,61
05:22:08.822 2018-11-20,60.19912,60,25.15186,0,60,61
05:22:09.822 2018-11-20,60.21391,60,23.93686,0,60,61
05:22:10.822 2018-11-20,60.16287,60,24.97561,0,60,61
05:22:11.822 2018-11-20,60.10802,60,26.52198,0,60,61
05:22:12.821 2018-11-20,60.0217,60,28.89301,0,60,61
05:22:13.821 2018-11-20,59.94426,60,31.55476,0.05573654,60,61
05:22:14.837 2018-11-20,59.87462,60,33.99301,0.1253815,60,61
05:22:15.836 2018-11-20,59.84919,60,34.78966,0.1449356,60,61
05:22:16.852 2018-11-20,59.83932,60,35.75064,0.160675,60,61
05:22:17.852 2018-11-20,59.87366,60,34.90673,0.1263351,60,61
05:22:18.883 2018-11-20,59.92757,60,34.06109,0.08817673,60,61
05:22:19.882 2018-11-20,60.00897,60,30.8329,0,60,61
05:22:20.882 2018-11-20,60.05795,60,29.29724,0,60,61
05:22:21.882 2018-11-20,60.11089,60,27.14525,0,60,61
05:22:22.882 2018-11-20,60.14523,60,26.18588,0,60,61
