,image_idx,cell_idx,n_spots,gfp
0,1.0,13.0,23.0,0.21357696450513214
1,1.0,14.0,3.0,0.35810376055357457
2,1.0,12.0,43.0,0.5572519341223161
3,1.0,11.0,74.0,0.606073656536197
4,1.0,10.0,2.0,0.17208367123538865
5,1.0,9.0,3.0,0.16552740560591506
6,1.0,8.0,4.0,0.7414414544223501
7,1.0,6.0,1.0,0.4760835841078322
8,1.0,5.0,4.0,0.17896113531924654
9,1.0,7.0,1.0,0.4140687384111415
10,1.0,4.0,15.0,0.5900658356789898
11,1.0,3.0,7.0,0.56046565005121
12,1.0,2.0,6.0,0.028538540149152625
13,1.0,1.0,10.0,0.7707469573911867
14,1.0,0.0,11.0,0.028133063265763626
15,2.0,15.0,4.0,0.20826082747061567
16,2.0,14.0,5.0,0.23081296086639816
17,2.0,13.0,4.0,0.21035692346963414
18,2.0,11.0,5.0,0.544281455203702
19,2.0,12.0,7.0,0.5005056252726483
20,2.0,10.0,2.0,0.4696479428855261
21,2.0,9.0,21.0,0.02977485535145352
22,2.0,8.0,20.0,0.03077801005995792
23,2.0,7.0,7.0,0.3098112147287052
24,2.0,6.0,6.0,0.19229747552529453
25,2.0,3.0,2.0,0.4279768459593635
26,2.0,5.0,6.0,0.30907644128996564
27,2.0,4.0,2.0,0.21402726994179586
28,2.0,2.0,10.0,0.27376196871143504
29,2.0,1.0,6.0,0.2795453763334661
30,2.0,0.0,4.0,0.3631230118524961
31,3.0,19.0,7.0,0.23052953938052054
32,3.0,17.0,5.0,0.2210522020948582
33,3.0,18.0,28.0,0.359442150898836
34,3.0,16.0,2.0,0.060701452779330416
35,3.0,14.0,2.0,0.06461847565845992
36,3.0,15.0,2.0,0.12045451289941367
37,3.0,13.0,2.0,0.11198183844172152
38,3.0,11.0,5.0,0.19385096539615465
39,3.0,12.0,9.0,0.6515295410306493
40,3.0,10.0,8.0,0.5269121268221244
41,3.0,9.0,3.0,0.4797482095822462
42,3.0,7.0,8.0,0.7705185373637501
43,3.0,8.0,2.0,0.514625054768539
44,3.0,4.0,6.0,0.11298638733699234
45,3.0,6.0,3.0,0.7065418875894817
46,3.0,3.0,4.0,0.2564920845258421
47,3.0,5.0,1.0,0.7022830259465125
48,3.0,2.0,4.0,0.2592431602335351
49,3.0,1.0,2.0,0.2795661941755501
50,3.0,0.0,2.0,0.44421971304581015
51,4.0,13.0,8.0,0.14838353530653875
52,4.0,12.0,8.0,0.9985204652525872
53,4.0,11.0,6.0,0.09997702502606905
54,4.0,10.0,3.0,0.4895409781358357
55,4.0,9.0,5.0,0.4734137191038242
56,4.0,8.0,9.0,0.8519468376558907
57,4.0,7.0,10.0,0.07851319277962006
58,4.0,6.0,1.0,0.3983362497780137
59,4.0,5.0,4.0,0.42063142562921735
60,4.0,4.0,3.0,0.15148585839689305
61,4.0,2.0,1.0,0.26596757766902174
62,4.0,3.0,4.0,0.17321352327210002
63,4.0,1.0,4.0,0.19062978775834974
64,5.0,16.0,2.0,0.4881440698661909
65,5.0,17.0,1.0,0.382643086489516
66,5.0,12.0,1.0,0.4951621100293505
67,5.0,15.0,5.0,0.5605195409502411
68,5.0,14.0,6.0,0.43939270256490576
69,5.0,11.0,7.0,0.4831582761186892
70,5.0,13.0,3.0,0.40058423868983184
71,5.0,10.0,6.0,0.26270949934876725
72,5.0,9.0,112.0,0.024860471557894236
