,image_idx,cell_idx,n_spots,gfp
0,1.0,7.0,84.0,0.029174245445674606
1,1.0,6.0,114.0,0.03124084006177025
2,1.0,5.0,84.0,0.02975246998691009
3,1.0,4.0,83.0,0.02883312043689162
4,1.0,2.0,100.0,0.02951446328506033
5,1.0,3.0,34.0,0.03210714071786922
6,1.0,1.0,50.0,0.03308884547208104
7,1.0,0.0,56.0,0.03310235973048938
8,2.0,6.0,88.0,0.02723073567480146
9,2.0,5.0,115.0,0.028181507299461138
10,2.0,4.0,99.0,0.029907354971891623
11,2.0,3.0,73.0,0.034971276077111764
12,2.0,1.0,96.0,0.029346403641469794
13,2.0,2.0,26.0,0.031619488811271385
14,2.0,0.0,37.0,0.031814165489245295
15,3.0,6.0,52.0,0.02249532230188393
16,3.0,5.0,51.0,0.029514184203139636
17,3.0,4.0,40.0,0.0268222100987594
18,3.0,3.0,23.0,0.02574375219305919
19,3.0,2.0,72.0,0.025677436550179938
20,3.0,0.0,81.0,0.03221800122737032
21,3.0,1.0,47.0,0.028192615424984437
22,4.0,10.0,46.0,0.025779559750462727
23,4.0,9.0,34.0,0.02563330332637597
24,4.0,8.0,95.0,0.028219808708354863
25,4.0,7.0,122.0,0.03622842499985456
26,4.0,6.0,90.0,0.033633632892139685
27,4.0,5.0,61.0,0.02963873537625244
28,4.0,4.0,153.0,0.03474178334352762
29,4.0,3.0,67.0,0.03316959547742603
30,4.0,1.0,98.0,0.029490845372538137
31,4.0,2.0,95.0,0.03031431515540382
32,4.0,0.0,87.0,0.030208639424063707
33,5.0,6.0,47.0,0.026676816521200027
34,5.0,5.0,90.0,0.026466253271889072
35,5.0,4.0,86.0,0.02959873661194682
36,5.0,3.0,118.0,0.026702251420752842
37,5.0,2.0,132.0,0.03099740367567697
38,5.0,1.0,98.0,0.028065118533448997
39,5.0,0.0,35.0,0.02674427600107017
40,6.0,17.0,115.0,0.022835682227943438
41,6.0,15.0,83.0,0.025400637149931973
42,6.0,16.0,41.0,0.02373304852927433
43,6.0,14.0,54.0,0.02447956785783177
44,6.0,13.0,96.0,0.0272571800984152
45,6.0,12.0,79.0,0.026249136829297214
46,6.0,11.0,111.0,0.030114616985804418
47,6.0,9.0,62.0,0.03025810470938103
48,6.0,10.0,44.0,0.02808118035386205
49,6.0,8.0,93.0,0.03251269598516916
50,6.0,6.0,77.0,0.030523948235484568
51,6.0,7.0,107.0,0.030291525127509426
52,6.0,4.0,62.0,0.026408914712852682
53,6.0,5.0,69.0,0.034144226652629894
54,6.0,3.0,51.0,0.027384348904520614
55,6.0,2.0,89.0,0.03206965835038765
56,6.0,1.0,64.0,0.02868008751985065
57,6.0,0.0,111.0,0.03244539174757627
58,7.0,17.0,64.0,0.027545696065430413
59,7.0,16.0,40.0,0.0279518718010978
60,7.0,15.0,73.0,0.026868559630562373
61,7.0,14.0,81.0,0.02960879307775792
62,7.0,13.0,69.0,0.027810507765606073
63,7.0,12.0,77.0,0.029211424173334874
64,7.0,11.0,96.0,0.029435233613086805
65,7.0,10.0,111.0,0.026599664159039808
66,7.0,9.0,35.0,0.028278517790040862
67,7.0,8.0,68.0,0.03373509935236076
68,7.0,7.0,103.0,0.03532365614149845
69,7.0,6.0,104.0,0.03889507114054844
70,7.0,5.0,71.0,0.04071131526109382
71,7.0,3.0,77.0,0.037686632716323006
72,7.0,4.0,32.0,0.04203643421752092
73,7.0,2.0,157.0,0.03726061244198997
74,7.0,1.0,115.0,0.03900504714806668
75,7.0,0.0,157.0,0.03327748317292153
76,8.0,10.0,75.0,0.026361483317493155
77,8.0,9.0,50.0,0.028142532161936514
78,8.0,8.0,65.0,0.02697359012540787
79,8.0,7.0,55.0,0.029595845156444
80,8.0,6.0,64.0,0.03668270575072586
81,8.0,5.0,126.0,0.032360379840010736
82,8.0,4.0,24.0,0.031254988846139566
83,8.0,3.0,36.0,0.03145264967665366
84,8.0,1.0,92.0,0.031666503037128625
85,8.0,2.0,10.0,0.03159098749943492
86,8.0,0.0,76.0,0.036150031697048335
87,9.0,10.0,59.0,0.02428390629853391
88,9.0,11.0,69.0,0.023567963394917686
89,9.0,9.0,61.0,0.02647248669372807
90,9.0,7.0,30.0,0.031125612149017563
91,9.0,8.0,102.0,0.0301329093485418
92,9.0,6.0,142.0,0.026663655447055103
93,9.0,5.0,57.0,0.029370636080500695
94,9.0,4.0,94.0,0.029958662237466783
95,9.0,3.0,104.0,0.03140920337469676
96,9.0,2.0,98.0,0.030384740895705968
97,9.0,1.0,122.0,0.02910685234549946
98,9.0,0.0,97.0,0.03203647390241304
99,10.0,8.0,98.0,0.026062681269413912
100,10.0,7.0,202.0,0.03032133260831185
101,10.0,6.0,114.0,0.027962333110175024
102,10.0,5.0,66.0,0.028548834233610793
103,10.0,4.0,49.0,0.02758268536779914
104,10.0,3.0,103.0,0.029153279015806177
105,10.0,2.0,86.0,0.0271919141367898
106,10.0,1.0,104.0,0.02749313571303776
107,10.0,0.0,18.0,0.029269101797129705
108,11.0,8.0,120.0,0.025810846571897354
109,11.0,7.0,106.0,0.027289641858386792
110,11.0,5.0,52.0,0.033089896212178005
111,11.0,6.0,65.0,0.03411740637514992
112,11.0,4.0,91.0,0.030424202142495936
113,11.0,3.0,62.0,0.031182603097386963
114,11.0,2.0,126.0,0.03153102190909799
115,11.0,1.0,211.0,0.03376643913710503
116,11.0,0.0,114.0,0.03026725008258085
117,12.0,6.0,91.0,0.02646593877754277
118,12.0,4.0,136.0,0.03670644845281328
119,12.0,5.0,120.0,0.034833573259806884
120,12.0,3.0,121.0,0.03424021495746492
121,12.0,2.0,65.0,0.03645017806614212
122,12.0,1.0,79.0,0.029299070015841186
123,12.0,0.0,110.0,0.03106341531623448
